,counts,words
431,31749,cause
432,31660,bring
433,31660,become
434,31639,truth
435,31570,bed
436,31535,human
437,31531,horse
438,31495,dark
439,31481,mine
440,31225,became
441,31083,brother
442,31076,sun
443,31033,common
444,30873,sight
445,30772,twenty
446,30709,table
447,30648,sense
448,30599,returned
449,30536,towards
450,30495,sort
451,30362,care
452,30346,around
453,30199,eye
454,30171,ten
455,30044,close
456,30024,different
457,29867,english
458,29829,kept
459,29797,answer
460,29787,spirit
461,29751,government
462,29659,question
463,29366,fair
464,29363,ask
465,29357,john
466,29266,understand
467,29262,feel
468,29163,else
469,29140,suddenly
470,29028,est
471,28890,copyright
472,28879,show
473,28837,evening
474,28791,strange
475,28790,gold
476,28712,force
477,28628,saying
478,28609,written
479,28542,sound
480,28518,talk
481,28383,need
482,28283,church
483,28281,laws
484,28232,rate
485,28138,river
486,28034,neither
487,27996,subject
488,27959,license
489,27882,followed
490,27800,everything
491,27548,able
492,27518,low
493,27443,fr
494,27442,ready
495,27322,across
496,27193,line
497,27106,et
498,27082,met
499,27034,captain
500,27030,court
501,26838,doubt
502,26775,past
503,26755,heaven
504,26753,stand
505,26750,possible
506,26739,story
507,26712,pass
508,26646,copy
509,26632,following
510,26613,six
511,26576,donations
512,26575,toward
513,26574,fine
514,26557,deep
515,26515,hair
516,26405,information
517,26315,service
518,26241,street
519,26119,idea
520,26114,daughter
521,26094,natural
522,26094,change
523,26023,spoke
524,26013,except
525,25974,fellow
526,25897,longer
527,25782,literary
528,25679,cold
529,25656,including
530,25530,remember
531,25473,beautiful
532,25468,wind
533,25468,fall
534,25468,le
535,25372,beyond
536,25352,note
537,25351,paid
538,25224,self
539,25220,cut
540,25159,happy
541,25084,living
542,25002,run
543,24998,appeared
544,24890,gr
545,24859,road
546,24728,early
547,24694,later
548,24681,taking
549,24677,england
550,24667,purpose
551,24637,enter
552,24588,seems
553,24575,meet
554,24572,gentleman
555,24539,re
556,24512,character
557,24484,south
558,24403,it's
559,24391,please
560,24389,big
561,24368,peace
562,24328,interest
563,24262,further
564,24244,below
565,24218,chief
566,24112,bad
567,24022,office
568,24017,husband
569,24006,window
570,23988,continued
571,23959,real
572,23902,suppose
573,23883,tree
574,23792,clear
575,23788,foot
576,23779,prince
577,23765,especially
578,23757,die
579,23746,sweet
580,23702,carried
581,23654,hours
582,23610,comes
583,23606,bear
584,23563,charge
585,23420,company
586,23379,account
587,23331,green
588,23264,nearly
589,23101,knowledge
590,23095,tom
591,23088,etc
592,22947,paper
593,22831,late
594,22711,arm
595,22677,led
596,22674,seem
597,22672,view
598,22669,ought
599,22560,play
600,22525,ill
601,22464,history
602,22457,pretty
603,22396,archive
604,22360,north
605,22358,reached
606,22357,opened
607,22313,feeling
608,22299,forward
609,22275,front
610,22197,added
611,22149,silence
612,22138,km
613,22104,trees
614,22079,laid
615,22064,wild
616,22017,blue
617,21907,pay
618,21865,certainly
619,21784,makes
620,21747,according
621,21723,wanted
622,21691,pleasure
623,21630,yourself
624,21615,sleep
625,21579,future
626,21361,mouth
627,21277,entered
628,21225,doing
629,21221,strength
630,21216,position
631,21196,ran
632,21143,books
633,21100,i'll
634,21017,org
635,21007,tried
636,20967,agree
637,20909,st
638,20865,necessary
639,20864,system
640,20815,london
641,20799,plain
642,20770,french
643,20756,army
644,20739,lived
645,20636,send
646,20602,ship
647,20501,save
648,20413,per
649,20382,unless
650,20353,american
651,20337,outside
652,20308,desire
653,20281,born
654,20274,wall
655,20163,evil
656,20154,follow
657,20116,queen
658,20067,stone
659,20016,although
660,19998,third
661,19995,chance
662,19972,access
663,19949,lips
664,19937,various
665,19933,died
666,19925,miles
667,19725,paragraph
668,19713,heavy
669,19711,shak
670,19622,food
671,19591,try
672,19582,wood
673,19580,doctor
674,19571,trademark
675,19551,effect
676,19436,ebook
677,19419,particular
678,19382,easy
679,19320,language
680,19313,walked
681,19288,i'm
682,19282,length
683,19187,secret
684,19069,rich
685,19064,happened
686,19008,france
687,19008,single
688,18956,distance
689,18917,west
690,18875,total
691,18873,glad
692,18865,thinking
693,18845,ah
694,18818,seven
695,18788,hat
696,18784,beauty
697,18773,drew
698,18769,broken
699,18765,instead
700,18760,sister
701,18738,society
702,18703,faith
703,18677,horses
704,18661,walk
705,18646,beginning
706,18643,thoughts
707,18623,wrong
708,18592,national
709,18576,stay
710,18532,action
711,18518,trouble
712,18466,afraid
713,18460,attention
714,18453,standing
715,18435,greater
716,18434,seeing
717,18391,knows
718,18259,school
719,18237,important
720,18173,struck
721,18157,remained
722,18120,writing
723,18117,noble
724,18105,ve
725,18093,smile
726,18017,receive
727,18015,probably
728,18014,parts
729,17972,youth
730,17958,bound
731,17937,que
732,17917,joy
733,17905,object
734,17895,slowly
735,17893,refund
736,17842,persons
737,17800,chair
738,17785,minutes
739,17774,field
740,17756,tears
741,17711,battle
742,17701,top
743,17692,iron
744,17665,placed
745,17653,filled
746,17618,middle
747,17591,ago
748,17590,scene
749,17549,whatever
750,17545,opinion
751,17437,population
752,17436,bright
753,17331,presence
754,17305,figure
755,17291,stopped
756,17273,caught
757,17250,fight
758,17199,wide
759,17136,produced
760,17100,piece
761,17080,write
762,17055,wonder
763,17038,bot
764,17027,married
765,17018,visit
766,17016,ancient
767,17015,notice
768,16972,carry
769,16964,cast
770,16938,garden
771,16921,deal
772,16915,sit
773,16875,wait
774,16868,loved
775,16864,sword
776,16840,paris
777,16803,cry
778,16802,holy
779,16662,en
780,16658,fortune
781,16640,months
782,16633,property
783,16629,beside
784,16606,appearance
785,16601,provide
786,16601,enemy
787,16599,dr
788,16588,hardly
789,16566,glass
790,16559,justice
791,16517,hence
792,16496,east
793,16480,spring
794,16464,lie
795,16456,appear
796,16414,na
797,16388,sitting
798,16371,showed
799,16358,dream
800,16341,letters
801,16338,immediately
802,16328,grew
803,16323,associated
804,16301,support
805,16295,thirty
806,16256,watch
807,16249,species
808,16244,floor
809,16230,simple
810,16222,hall
811,16212,moved
812,16174,exclaimed
813,16166,places
814,16148,eat
815,16140,original
816,16119,un
817,16102,quiet
818,16054,madame
819,16054,al
820,16035,latter
821,16035,besides
822,16034,easily
823,16012,start
824,15993,condition
825,15979,dinner
826,15948,worth
827,15935,duty
828,15918,danger
829,15889,individual
830,15874,silent
831,15870,week
832,15869,raised
833,15845,million
834,15826,silver
835,15823,section
836,15803,getting
837,15797,covered
838,15771,sb
839,15718,quickly
840,15700,straight
841,15675,monsieur
842,15673,'i
843,15652,grace
844,15632,fee
845,15618,sudden
846,15611,hot
847,15607,learned
848,15604,domain
849,15596,expression
850,15591,hast
851,15579,that's
852,15563,lives
853,15538,march
854,15533,ii
855,15532,zo
856,15527,corner
857,15518,honour
858,15478,duke
859,15460,permission
860,15458,island
861,15452,impossible
862,15425,speaking
863,15413,beneath
864,15395,former
865,15386,wise
866,15379,waiting
867,15351,drink
868,15321,servant
869,15296,turning
870,15273,york
871,15266,laughed
872,15194,giving
873,15172,boys
874,15172,experience
875,15166,direction
876,15120,won
877,15119,ways
878,15118,influence
879,15112,cross
880,15049,usually
881,15043,dog
882,14981,fresh
883,14945,news
884,14943,boat
885,14906,music
886,14866,started
887,14835,copies
888,14797,respect
889,14767,race
890,14761,leaves
891,14706,discovered
892,14706,step
893,14689,tone
894,14680,uncle
895,14676,fast
896,14637,roman
897,14593,eight
898,14561,military
899,14555,sons
900,14494,marriage
901,14482,private
902,14472,afterwards
903,14468,pr
904,14457,brown
905,14454,merely
906,14438,pray
907,14420,lead
908,14414,box
909,14408,houses
910,14391,sand
911,14365,provided
912,14346,page
913,14330,yellow
914,14325,mere
915,14322,goes
916,14319,break
917,14317,speech
918,14271,formed
919,14249,learn
920,14240,remain
921,14233,flowers
922,14217,usual
923,14214,sky
924,14206,wine
925,14205,il
926,14187,royal
927,14184,period
928,14179,reading
929,14163,soft
930,14160,pain
931,14134,observed
932,14120,breath
933,14089,israel
934,14088,behold
935,14079,can't
936,14076,stop
937,13988,non
938,13956,walls
939,13949,command
940,13941,bit
941,13939,result
942,13898,meant
943,13896,surface
944,13895,closed
945,13894,leaving
946,13856,broke
947,13853,judge
948,13853,occasion
949,13800,forest
950,13743,cost
951,13738,saint
952,13726,perfect
953,13699,morrow
954,13697,summer
955,13696,talking
956,13694,lower
957,13687,value
958,13686,political
959,13671,president
960,13664,reach
961,13654,due
