,words,counts
328,true,478401.0
329,land,474687.0
330,indeed,473392.0
331,si,473039.0
332,together,472711.0
333,round,470164.0
334,means,467409.0
335,sent,467086.0
336,agreement,465294.0
337,dear,463599.0
338,order,463390.0
339,during,462759.0
340,often,462488.0
341,near,460026.0
342,friend,459554.0
343,feet,459337.0
344,nature,459142.0
345,read,458767.0
346,children,457147.0
347,plus,456264.0
348,second,455495.0
349,help,449561.0
350,fire,446086.0
351,five,443437.0
352,above,442729.0
353,received,442682.0
354,law,440133.0
355,believe,439031.0
356,sea,438998.0
357,known,438626.0
358,hope,438574.0
359,air,437719.0
360,thy,437143.0
361,girl,436311.0
362,herself,435449.0
363,te,435184.0
364,case,434676.0
365,free,434656.0
366,city,434331.0
367,passed,433605.0
368,along,433594.0
369,alone,433590.0
370,says,433272.0
371,lui,432950.0
372,par,432728.0
373,forth,432443.0
374,hundred,431881.0
375,wife,431287.0
376,elle,426336.0
377,sure,425663.0
378,fact,425396.0
379,number,425185.0
380,sa,425074.0
381,looking,423580.0
382,person,423323.0
383,hear,422775.0
384,open,421578.0
385,therefore,421346.0
386,gone,421216.0
387,already,419816.0
388,boy,418877.0
389,english,415365.0
390,een,414210.0
391,several,412450.0
392,times,410675.0
393,return,409889.0
394,license,407153.0
395,sur,405880.0
396,letter,405438.0
397,john,403270.0
398,business,400927.0
399,whether,398789.0
400,body,398438.0
401,child,398432.0
402,either,396442.0
403,held,393827.0
404,church,393700.0
405,el,393378.0
406,least,392725.0
407,leave,392232.0
408,literary,391252.0
409,copyright,387742.0
410,rest,387197.0
411,cried,386672.0
412,women,383483.0
413,friends,383081.0
414,donations,382634.0
415,black,382536.0
416,government,382277.0
417,lay,380849.0
418,nous,379392.0
419,itself,377795.0
420,hour,374823.0
421,party,373980.0
422,behind,371554.0
423,answered,368605.0
424,captain,367805.0
425,replied,365654.0
426,chapter,364728.0
427,speak,364141.0
428,question,363638.0
429,call,363234.0
430,following,362139.0
431,dead,362104.0
432,book,361592.0
433,thee,360442.0
434,lost,360140.0
435,ground,359458.0
436,copy,358116.0
437,short,357698.0
438,reason,357563.0
439,making,357262.0
440,coming,356950.0
441,wish,356025.0
442,town,355453.0
443,river,354242.0
444,cause,354064.0
445,england,353584.0
446,possible,351009.0
447,became,350375.0
448,around,349257.0
449,laws,343110.0
450,hard,342474.0
451,sat,342386.0
452,really,342262.0
453,family,342207.0
454,earth,340744.0
455,become,340618.0
456,different,339561.0
457,care,339321.0
458,di,338443.0
459,ten,337162.0
460,mean,335893.0
461,manner,334934.0
462,truth,334121.0
463,twenty,333795.0
464,strong,333190.0
465,spirit,331742.0
466,non,331091.0
467,org,329740.0
468,feel,329245.0
469,thousand,329177.0
470,french,329104.0
471,er,328179.0
472,archive,327878.0
473,close,327479.0
474,information,327388.0
475,kept,326586.0
476,soul,326281.0
477,subject,325546.0
478,table,325270.0
479,human,323929.0
480,rose,321784.0
481,story,320567.0
482,six,320347.0
483,fell,320298.0
484,able,319989.0
485,need,319735.0
486,towards,319347.0
487,line,318801.0
488,red,318476.0
489,arms,317602.0
490,except,317561.0
491,sometimes,317206.0
492,dark,316540.0
493,dat,316519.0
494,hold,315754.0
495,live,315110.0
496,evening,313931.0
497,age,310564.0
498,paid,310395.0
499,force,310364.0
500,returned,309715.0
501,master,308145.0
502,ready,307984.0
503,beautiful,304892.0
504,understand,304551.0
505,answer,303602.0
506,later,303410.0
507,turn,303351.0
508,followed,302820.0
509,fear,302750.0
510,fine,302711.0
511,brother,302036.0
512,bring,301060.0
513,nearly,301010.0
514,charge,300863.0
515,early,300717.0
516,dit,299869.0
517,bed,299560.0
518,service,299385.0
519,seems,299195.0
520,show,298443.0
521,doubt,298215.0
522,suddenly,297433.0
523,north,297053.0
524,written,296312.0
525,st,296037.0
526,comme,295845.0
527,sight,295639.0
528,ask,294929.0
529,character,294278.0
530,across,293694.0
531,art,293683.0
532,tout,293109.0
533,sort,292785.0
534,purpose,292142.0
535,sense,291855.0
536,south,291051.0
537,further,290675.0
538,bien,288770.0
539,everything,287675.0
540,history,286985.0
541,common,286326.0
542,ye,285714.0
543,including,284781.0
544,office,284531.0
545,interest,282987.0
546,sun,282799.0
547,idea,282498.0
548,france,281303.0
549,court,280220.0
550,paragraph,280213.0
551,deep,279413.0
552,none,279260.0
553,talk,278879.0
554,chief,278711.0
555,account,278581.0
556,past,278462.0
557,army,277845.0
558,agree,277393.0
559,carried,277107.0
560,necessary,276526.0
561,trademark,276318.0
562,company,275968.0
563,miles,275942.0
564,else,275925.0
565,note,275190.0
566,act,274735.0
567,road,274533.0
568,although,271501.0
569,suppose,269834.0
570,change,269699.0
571,continued,269627.0
572,taking,269394.0
573,below,269234.0
574,big,269226.0
575,reached,268662.0
576,cut,268446.0
577,eye,268155.0
578,blood,267764.0
579,position,267340.0
580,stand,266540.0
581,per,266503.0
582,longer,266476.0
583,appeared,266249.0
584,horse,265514.0
585,che,265269.0
586,strange,265222.0
587,west,265154.0
588,meet,264910.0
589,please,264887.0
590,ought,263631.0
591,neither,263498.0
592,spoke,263271.0
593,cold,262883.0
594,happy,261331.0
595,future,261302.0
596,beyond,261237.0
597,street,260705.0
598,fellow,260205.0
599,school,260191.0
600,access,260157.0
601,dr,259608.0
602,hours,258572.0
603,prince,258092.0
604,peace,257860.0
605,low,257201.0
606,unless,256612.0
607,feeling,255841.0
608,natural,255059.0
609,run,254929.0
610,front,254737.0
611,clear,253696.0
612,forward,253672.0
613,real,253082.0
614,self,253039.0
615,sound,252799.0
616,toward,251793.0
617,refund,251459.0
618,remember,251012.0
619,certainly,250979.0
620,fair,250757.0
621,bad,250530.0
622,seem,250527.0
623,added,250374.0
624,late,250211.0
625,view,249217.0
626,gold,249189.0
627,saying,249143.0
628,ii,247302.0
629,pretty,246210.0
630,al,245291.0
631,living,244507.0
632,comes,242103.0
633,american,242013.0
634,london,241003.0
635,mine,239752.0
636,pay,239624.0
637,knowledge,238699.0
638,wind,238463.0
639,trees,237406.0
640,fall,236548.0
641,doing,236531.0
642,ah,236062.0
643,daughter,234661.0
644,section,234218.0
645,ship,233995.0
646,outside,233660.0
647,effect,233557.0
648,boys,233506.0
649,paper,233387.0
650,es,232500.0
651,entered,232074.0
652,hair,231157.0
653,op,230352.0
654,pass,230144.0
655,probably,229748.0
656,makes,229601.0
657,led,229210.0
658,play,228335.0
659,mon,228293.0
660,plain,227405.0
661,als,226520.0
662,ma,226487.0
663,important,226198.0
664,footnote,226015.0
665,opened,225955.0
666,send,225864.0
667,wild,225770.0
668,laid,225477.0
669,associated,224913.0
670,wanted,224712.0
671,blue,224032.0
672,permission,223991.0
673,heaven,223867.0
674,husband,223694.0
675,especially,223311.0
676,silence,222952.0
677,domain,222369.0
678,del,222297.0
679,green,222082.0
680,foot,221940.0
681,died,221505.0
682,attention,221367.0
683,da,221091.0
684,glad,220051.0
685,arm,219879.0
686,distance,218716.0
687,window,216335.0
688,visit,216312.0
